step,dice,dice/_macro,dice/_micro,dice/class_00,dice/class_01,dice/class_02,dice/class_03,iou,iou/_macro,iou/_micro,iou/class_00,iou/class_01,iou/class_02,iou/class_03,loss,loss/mean,loss/std,lr,momentum,trevsky,trevsky/_macro,trevsky/_micro,trevsky/class_00,trevsky/class_01,trevsky/class_02,trevsky/class_03
11,0.4171827733516693,0.4171827733516693,0.46751195192337036,0.6402127146720886,0.023752164095640182,0.5241257548332214,0.48064056038856506,0.2885776162147522,0.2885776162147522,0.305067241191864,0.47081834077835083,0.012018817476928234,0.35512903332710266,0.3163442015647888,0.5324105667689489,0.5324105667689489,0.055120686613245026,0.0001,0.9,0.4356851875782013,0.4356851875782013,0.45524486899375916,0.6779289245605469,0.015115391463041306,0.668823778629303,0.3808726370334625
12,0.46058446168899536,0.46058446168899536,0.5025750398635864,0.6540142297744751,0.020024439319968224,0.5440590977668762,0.6242401003837585,0.33085936307907104,0.33085936307907104,0.33562618494033813,0.48589983582496643,0.01011347770690918,0.3736821413040161,0.45374202728271484,0.49737541826944504,0.49737541826944504,0.019172976480333694,0.0001,0.9,0.4739847183227539,0.4739847183227539,0.4851701855659485,0.6780449151992798,0.012799774296581745,0.6787756681442261,0.5263186097145081
13,0.4472085237503052,0.4472085237503052,0.48558712005615234,0.6315882205963135,0.03939920663833618,0.5308340191841125,0.5870127081871033,0.3146003186702728,0.3146003186702728,0.3206438422203064,0.4615483283996582,0.020095475018024445,0.36131659150123596,0.4154408872127533,0.5136354764302572,0.5136354764302572,0.04098708323220226,0.0001,0.9,0.4558824896812439,0.4558824896812439,0.46877920627593994,0.6381809115409851,0.02526140585541725,0.6703356504440308,0.4897520840167999
14,0.4647286832332611,0.4647286832332611,0.49610576033592224,0.6251978874206543,0.10570203512907028,0.5414190292358398,0.5865957736968994,0.32419347763061523,0.32419347763061523,0.3298807442188263,0.4547547698020935,0.05580010637640953,0.3711957335472107,0.4150233268737793,0.5040080102663191,0.5040080102663191,0.0212905582007044,0.0001,0.9,0.470548540353775,0.470548540353775,0.478525847196579,0.666705846786499,0.0715363621711731,0.6532992124557495,0.4906527101993561
15,0.46502846479415894,0.46502846479415894,0.5033936500549316,0.6380336284637451,0.03446934372186661,0.5340417623519897,0.6535691022872925,0.3339264690876007,0.3339264690876007,0.3363567292690277,0.468465119600296,0.017536913976073265,0.3642953336238861,0.48540857434272766,0.4971313050815037,0.4971313050815037,0.02439080846063358,0.0001,0.9,0.4644657075405121,0.4644657075405121,0.46737435460090637,0.6668819785118103,0.02239200659096241,0.5963538885116577,0.5722349882125854
16,0.4455535411834717,0.4455535411834717,0.4802514314651489,0.5986074805259705,0.12810896337032318,0.5315945148468018,0.5239031314849854,0.30313408374786377,0.30313408374786377,0.31600716710090637,0.4271519184112549,0.06843826174736023,0.3620215952396393,0.35492461919784546,0.5186734464433458,0.5186734464433458,0.05853317402322493,0.0001,0.9,0.4570930004119873,0.4570930004119873,0.4653276205062866,0.6752442717552185,0.08699864894151688,0.6333582997322083,0.4327707588672638
17,0.45995277166366577,0.45995277166366577,0.5062057375907898,0.6333928108215332,0.0005395059124566615,0.5506550669670105,0.6552236676216125,0.3327294886112213,0.3327294886112213,0.338872492313385,0.46347829699516296,0.000269825744908303,0.3799337148666382,0.4872361719608307,0.4935751122141641,0.4935751122141641,0.034140745202808534,0.0001,0.9,0.46763938665390015,0.46763938665390015,0.4771074950695038,0.6148926019668579,0.00033748545683920383,0.6593410968780518,0.5959863662719727
18,0.4597271680831909,0.4597271680831909,0.5040410757064819,0.6056138873100281,0.006203195080161095,0.5519417524337769,0.6751499772071838,0.33204972743988037,0.33204972743988037,0.3369351327419281,0.43432295322418213,0.0031112474389374256,0.3811599016189575,0.5096048712730408,0.4986821536033873,0.4986821536033873,0.04291400353543996,0.0001,0.9,0.4665495455265045,0.4665495455265045,0.4773934483528137,0.5962656736373901,0.003910952713340521,0.674169659614563,0.5918518304824829
19,0.4545903205871582,0.4545903205871582,0.4897107481956482,0.6111909747123718,0.09576152265071869,0.5378421545028687,0.5735666751861572,0.31507784128189087,0.31507784128189087,0.32424965500831604,0.4400828182697296,0.050288621336221695,0.36784136295318604,0.40209850668907166,0.510550648447067,0.510550648447067,0.05571669143610122,0.0001,0.9,0.4653010964393616,0.4653010964393616,0.47531184554100037,0.6671431660652161,0.06393319368362427,0.6580377817153931,0.4720902144908905
20,0.4486575424671173,0.4486575424671173,0.48808804154396057,0.6346016526222229,0.05992680788040161,0.5402907729148865,0.559810996055603,0.31362637877464294,0.31362637877464294,0.32282835245132446,0.4647739827632904,0.030888939276337624,0.3701359033584595,0.38870665431022644,0.511299004630437,0.511299004630437,0.01644197364666674,0.0001,0.9,0.4501416087150574,0.4501416087150574,0.4554098844528198,0.7057573795318604,0.03922731801867485,0.5989943146705627,0.45658740401268005
21,0.4484829008579254,0.4484829008579254,0.4847728908061981,0.6538549661636353,0.0750584527850151,0.5231387615203857,0.541879415512085,0.3126421570777893,0.3126421570777893,0.3199341297149658,0.4857240319252014,0.038992587476968765,0.3542233407497406,0.37162861227989197,0.5159765595481509,0.5159765595481509,0.02767319739631439,0.0001,0.9,0.458272248506546,0.458272248506546,0.4617418050765991,0.6957582831382751,0.04949351027607918,0.5996583700180054,0.48817887902259827
22,0.4380766749382019,0.4380766749382019,0.4905778467655182,0.6416028141975403,0.002075279364362359,0.539067268371582,0.5695614218711853,0.3101308047771454,0.3101308047771454,0.32501038908958435,0.4723234176635742,0.0010387173388153315,0.36898842453956604,0.3981725871562958,0.5096063528742109,0.5096063528742109,0.06165670720989622,0.0001,0.9,0.45916715264320374,0.45916715264320374,0.4694097340106964,0.7122378945350647,0.0013000668259337544,0.6368159651756287,0.48631465435028076
23,0.4535897374153137,0.4535897374153137,0.4937608242034912,0.6519280076026917,0.06910031288862228,0.5192005634307861,0.574130117893219,0.31816530227661133,0.31816530227661133,0.3278103768825531,0.48360028862953186,0.03578658774495125,0.35062175989151,0.4026525020599365,0.5055822966590761,0.5055822966590761,0.05057553829058735,0.0001,0.9,0.4682643413543701,0.4682643413543701,0.47217899560928345,0.7038665413856506,0.044995877891778946,0.600263237953186,0.5239318013191223
24,0.46043822169303894,0.46043822169303894,0.5018453598022461,0.6218541860580444,0.039677467197179794,0.5381773710250854,0.642043948173523,0.3281055688858032,0.3281055688858032,0.3349756896495819,0.45122525095939636,0.02024027332663536,0.36815503239631653,0.47280168533325195,0.4977820108807276,0.4977820108807276,0.04055867237472746,0.0001,0.9,0.4717457890510559,0.4717457890510559,0.48460331559181213,0.6076145172119141,0.025623809546232224,0.6766859292984009,0.5770589709281921
25,0.4535939693450928,0.4535939693450928,0.49921685457229614,0.6183538436889648,0.04292292520403862,0.5490337014198303,0.604065477848053,0.32015109062194824,0.32015109062194824,0.33263757824897766,0.44754859805107117,0.02193216048181057,0.37839174270629883,0.4327319264411926,0.5011924259246342,0.5011924259246342,0.033750983029013366,0.0001,0.9,0.4700382351875305,0.4700382351875305,0.47716718912124634,0.6870602965354919,0.027530411258339882,0.6349377036094666,0.5306245684623718
26,0.4710223078727722,0.4710223078727722,0.5063462853431702,0.6531409025192261,0.07920461893081665,0.546703040599823,0.6050406098365784,0.33402159810066223,0.33402159810066223,0.3389984369277954,0.48493629693984985,0.04123532399535179,0.3761812448501587,0.4337334930896759,0.4936468430927822,0.4936468430927822,0.03385344479009448,0.0001,0.9,0.47373178601264954,0.47373178601264954,0.47826069593429565,0.6845575571060181,0.05213965103030205,0.6466004252433777,0.5116294622421265
27,0.4413827061653137,0.4413827061653137,0.4699476361274719,0.59503573179245,0.1205950453877449,0.5202061533927917,0.5296938419342041,0.2998726963996887,0.2998726963996887,0.30714482069015503,0.4235237240791321,0.0641666129231453,0.35153958201408386,0.36026090383529663,0.5297974281840854,0.5297974281840854,0.06015386438889668,0.0001,0.9,0.44310179352760315,0.44310179352760315,0.44811978936195374,0.6075164675712585,0.0826878771185875,0.6199853420257568,0.46221745014190674
28,0.4641552269458771,0.4641552269458771,0.5026282072067261,0.6441693902015686,0.06622331589460373,0.5284184217453003,0.6178097724914551,0.32885420322418213,0.32885420322418213,0.33567360043525696,0.4751105010509491,0.03424558788537979,0.3590819835662842,0.4469788074493408,0.4981797346993099,0.4981797346993099,0.03175870372841981,0.0001,0.9,0.477716863155365,0.477716863155365,0.48244649171829224,0.6825708150863647,0.04308842122554779,0.6231661438941956,0.5620419979095459
29,0.44270238280296326,0.44270238280296326,0.4870542287826538,0.6050114035606384,0.021366821601986885,0.5404877662658691,0.6039434671401978,0.3118574321269989,0.3118574321269989,0.32192447781562805,0.4337034523487091,0.010798778384923935,0.3703208267688751,0.4326067268848419,0.5137520158101643,0.5137520158101643,0.04762786714469733,0.0001,0.9,0.4512140154838562,0.4512140154838562,0.4588753581047058,0.6121718287467957,0.013615068979561329,0.6424621343612671,0.536607027053833
30,0.4413527250289917,0.4413527250289917,0.4812532365322113,0.6416118741035461,0.05243225395679474,0.5366247892379761,0.5347420573234558,0.30772650241851807,0.30772650241851807,0.31687524914741516,0.47233325242996216,0.026921914890408516,0.36670351028442383,0.3649473488330841,0.5191773147810073,0.5191773147810073,0.05534753121499623,0.0001,0.9,0.44844308495521545,0.44844308495521545,0.4625416100025177,0.6450393199920654,0.03381093963980675,0.6810888648033142,0.4338332414627075
