step,loss,loss/mean,loss/std,lr,momentum
1,0.8012709494621034,0.8012709494621034,0.015287109652939768,0.0001,0.9
2,0.7800028522809347,0.7800028522809347,0.010907812158595228,0.0001,0.9
3,0.7665441452510773,0.7665441452510773,0.024376145697200275,0.0001,0.9
4,0.7453818974040803,0.7453818974040803,0.018194977377059683,0.0001,0.9
5,0.7182017555312504,0.7182017555312504,0.012372709454410796,0.0001,0.9
6,0.7061031243157766,0.7061031243157766,0.0030006417084854115,0.0001,0.9
7,0.6892214417457581,0.6892214417457581,0.035545735914318664,0.0001,0.9
8,0.6806958100152395,0.6806958100152395,0.03567468001947757,0.0001,0.9
9,0.6833150207050263,0.6833150207050263,0.01983471987269748,0.0001,0.9
10,0.6671238229388282,0.6671238229388282,0.024898556255214272,0.0001,0.9
11,0.6703587401480902,0.6703587401480902,0.04746982571059944,0.0001,0.9
12,0.6241206384840465,0.6241206384840465,0.017440649831438792,0.0001,0.9
13,0.6440992506723555,0.6440992506723555,0.038279859436533434,0.0001,0.9
14,0.6306437358023628,0.6306437358023628,0.01632249143662641,0.0001,0.9
15,0.6308690905570984,0.6308690905570984,0.021868506799770284,0.0001,0.9
16,0.640308626114376,0.640308626114376,0.07057932190941764,0.0001,0.9
17,0.6033966919732473,0.6033966919732473,0.049270834153591,0.0001,0.9
18,0.5965051045493474,0.5965051045493474,0.042124598211345336,0.0001,0.9
19,0.6191861724096631,0.6191861724096631,0.05166971792904961,0.0001,0.9
20,0.6231434307401142,0.6231434307401142,0.02308374297664354,0.0001,0.9
21,0.6209895014762878,0.6209895014762878,0.029651096619920957,0.0001,0.9
22,0.6117745562205239,0.6117745562205239,0.0478848891346888,0.0001,0.9
23,0.5943800220413814,0.5943800220413814,0.05075106762425357,0.0001,0.9
24,0.5666421538307553,0.5666421538307553,0.04558883515581341,0.0001,0.9
25,0.5735851147818186,0.5735851147818186,0.038942668060017144,0.0001,0.9
26,0.5791470881492372,0.5791470881492372,0.04534497668611489,0.0001,0.9
27,0.6023632609654987,0.6023632609654987,0.0735149460712269,0.0001,0.9
28,0.5727140572335985,0.5727140572335985,0.04194215373559239,0.0001,0.9
29,0.5931634732655117,0.5931634732655117,0.048937567616024434,0.0001,0.9
30,0.6050959863359966,0.6050959863359966,0.058363677420011834,0.0001,0.9
