step,dice,dice/_macro,dice/_micro,dice/class_00,dice/class_01,dice/class_02,dice/class_03,iou,iou/_macro,iou/_micro,iou/class_00,iou/class_01,iou/class_02,iou/class_03,loss,loss/mean,loss/std,lr,momentum,trevsky,trevsky/_macro,trevsky/_micro,trevsky/class_00,trevsky/class_01,trevsky/class_02,trevsky/class_03
1,0.3838725984096527,0.3838725984096527,0.41098466515541077,0.5044946074485779,0.03950722515583038,0.44496604800224304,0.5465224981307983,0.25491201877593994,0.25491201877593994,0.2586411237716675,0.3373405635356903,0.02015168033540249,0.28614553809165955,0.3760102689266205,0.5892411300114223,0.5892411300114223,0.042342189027308505,0.0001,0.9,0.3877156376838684,0.3877156376838684,0.3929898142814636,0.48527586460113525,0.02575114741921425,0.5692288875579834,0.47060656547546387
2,0.39540085196495056,0.39540085196495056,0.4304664433002472,0.5298397541046143,0.02000170573592186,0.4566451907157898,0.575116753578186,0.26749998331069946,0.26749998331069946,0.2742639183998108,0.3603959381580353,0.010101880878210068,0.2958782911300659,0.4036237597465515,0.5698119553308638,0.5698119553308638,0.04218091302930937,0.0001,0.9,0.4025718569755554,0.4025718569755554,0.40358051657676697,0.5564931631088257,0.01276380568742752,0.5382802486419678,0.5027500987052917
3,0.3681236505508423,0.3681236505508423,0.4044562876224518,0.5330493450164795,0.01983475498855114,0.4528062343597412,0.46680429577827454,0.24262923002243042,0.24262923002243042,0.25349119305610657,0.3633723855018616,0.010016717948019505,0.29266291856765747,0.3044649064540863,0.5950611659458706,0.5950611659458706,0.04458190960916017,0.0001,0.9,0.38254302740097046,0.38254302740097046,0.38616347312927246,0.5805944204330444,0.012636156752705574,0.5672548413276672,0.3696865439414978
4,0.3843555152416229,0.3843555152416229,0.4124557375907898,0.5371088981628418,0.03139667585492134,0.45324966311454773,0.5156668424606323,0.2558860778808594,0.2558860778808594,0.25980737805366516,0.3671557605266571,0.01594870537519455,0.2930334806442261,0.3474063575267792,0.5887546671761407,0.5887546671761407,0.028938157343652012,0.0001,0.9,0.3798181712627411,0.3798181712627411,0.38008400797843933,0.5514552593231201,0.02032877504825592,0.534847617149353,0.41264107823371887
5,0.3938066065311432,0.3938066065311432,0.43265587091445923,0.5797883868217468,0.010627497918903828,0.47124651074409485,0.5135639905929565,0.26683467626571655,0.26683467626571655,0.27604395151138306,0.4082409143447876,0.005342136137187481,0.3082554042339325,0.34550026059150696,0.5672324044363839,0.5672324044363839,0.03196563859009504,0.0001,0.9,0.41265594959259033,0.41265594959259033,0.4186498522758484,0.6316332221031189,0.006751136388629675,0.6031588912010193,0.4090805649757385
6,0.41488975286483765,0.41488975286483765,0.4528546631336212,0.5671246647834778,0.014790176413953304,0.4730106294155121,0.604633629322052,0.28658178448677063,0.28658178448677063,0.29270339012145996,0.3957948088645935,0.007450182922184467,0.3097667992115021,0.43331536650657654,0.5466651821893359,0.5466651821893359,0.01613127525716522,0.0001,0.9,0.43355411291122437,0.43355411291122437,0.4350053668022156,0.6498008370399475,0.009374869987368584,0.5638167858123779,0.5112239718437195
7,0.4147610664367676,0.4147610664367676,0.44053053855895996,0.5632469654083252,0.06834443658590317,0.4689619243144989,0.5584909319877625,0.2802867889404297,0.2802867889404297,0.2824874520301819,0.39202770590782166,0.03538127243518829,0.3063032329082489,0.3874349296092987,0.5592579548321073,0.5592579548321073,0.03895037074011776,0.0001,0.9,0.42307248711586,0.42307248711586,0.42610713839530945,0.5982199311256409,0.04564530774950981,0.5935564637184143,0.4548681676387787
8,0.40958818793296814,0.40958818793296814,0.4469734728336334,0.5952757000923157,0.012093666009604931,0.487446129322052,0.5435372591018677,0.28132686018943787,0.28132686018943787,0.28780797123908997,0.42376697063446045,0.0060836197808384895,0.32226696610450745,0.37318992614746094,0.5536893852173336,0.5536893852173336,0.02911675618253849,0.0001,0.9,0.4209366738796234,0.4209366738796234,0.42295241355895996,0.6441466808319092,0.007661384530365467,0.5915445685386658,0.4403940439224243
9,0.3974236249923706,0.3974236249923706,0.43308231234550476,0.5593889951705933,0.01940256357192993,0.4769499599933624,0.5339528918266296,0.26886582374572754,0.26886582374572754,0.27639123797416687,0.3882997930049896,0.009796317666769028,0.3131544888019562,0.36421263217926025,0.5668519697492085,0.5668519697492085,0.02005974298947545,0.0001,0.9,0.40875208377838135,0.40875208377838135,0.4138750433921814,0.5813034772872925,0.012368443422019482,0.5953735709190369,0.44596290588378906
10,0.41011229157447815,0.41011229157447815,0.4483878016471863,0.6074899435043335,0.039259739220142365,0.4932219386100769,0.5004775524139404,0.2793429493904114,0.2793429493904114,0.2889818847179413,0.4362553656101227,0.020022917538881302,0.3273354768753052,0.3337579667568207,0.5528462737325638,0.5528462737325638,0.04104166170344988,0.0001,0.9,0.42266130447387695,0.42266130447387695,0.4326518476009369,0.6470206379890442,0.025498906150460243,0.6222702264785767,0.39585545659065247
